transaction_id,fecha,cuenta,monto,moneda,tipo,descripcion,estado
TXN000001,2026-03-18,4862431482372540,1390.86,MXN,devolucion,Devolucion muebles,pendiente
TXN000002,2026-03-18,4862431482372540,430.57,MXN,devolucion,Devolucion hotel,pendiente
TXN000003,2026-03-22,4862431482372540,330.69,MXN,devolucion,Devolucion ropa,pendiente
TXN000004,2026-03-19,4862431482372540,2611.13,MXN,devolucion,Devolucion gasolina,pendiente
TXN000005,2026-03-22,4862431482372540,733.73,MXN,devolucion,Devolucion equipo medico,pendiente
TXN000006,2026-03-23,4862431482372540,83.35,MXN,devolucion,Devolucion computadora,pendiente
TXN000007,2026-04-28,4519761819904026,338.37,MXN,devolucion,Devolucion electrodomestico,pendiente
TXN000008,2026-05-03,4519761819904026,4816.75,MXN,devolucion,Devolucion gimnasio,pendiente
TXN000009,2026-05-04,4519761819904026,9956.48,MXN,devolucion,Devolucion hotel,pendiente
TXN000010,2026-05-04,4519761819904026,206.79,MXN,devolucion,Devolucion gimnasio,pendiente
TXN000011,2026-05-04,4519761819904026,1964.42,MXN,devolucion,Devolucion equipo medico,pendiente
TXN000012,2026-04-29,4519761819904026,477.23,MXN,devolucion,Devolucion ropa,pendiente
TXN000013,2026-03-27,4901488555379369,17725.89,MXN,devolucion,Devolucion ropa,pendiente
TXN000014,2026-03-24,4901488555379369,6093.1,MXN,devolucion,Devolucion electrodomestico,pendiente
TXN000015,2026-03-27,4901488555379369,862.34,MXN,devolucion,Devolucion computadora,pendiente
TXN000016,2026-03-23,4901488555379369,3393.25,MXN,devolucion,Devolucion celular,pendiente
TXN000017,2026-03-23,4901488555379369,54.87,MXN,devolucion,Devolucion restaurante,pendiente
TXN000018,2026-03-23,4901488555379369,410.39,MXN,devolucion,Devolucion farmacia,pendiente
TXN000019,2026-01-30,4653707113696615,693.66,MXN,devolucion,Devolucion farmacia,pendiente
TXN000020,2026-01-29,4653707113696615,2099.21,MXN,devolucion,Devolucion computadora,pendiente
TXN000021,2026-01-31,4653707113696615,739.41,MXN,devolucion,Devolucion telefonia,pendiente
TXN000022,2026-02-01,4653707113696615,2623.07,MXN,devolucion,Devolucion vuelo,pendiente
TXN000023,2026-01-30,4653707113696615,2770.4,MXN,devolucion,Devolucion restaurante,pendiente
TXN000024,2026-01-29,4653707113696615,22866.76,MXN,devolucion,Devolucion entretenimiento,pendiente
TXN000025,2026-01-21,4869600251478219,6452.1,MXN,devolucion,Devolucion herramientas,pendiente
TXN000026,2026-01-23,4869600251478219,2963.23,MXN,devolucion,Devolucion internet,pendiente
TXN000027,2026-01-25,4869600251478219,931.24,MXN,devolucion,Devolucion internet,pendiente
TXN000028,2026-01-21,4869600251478219,326.45,MXN,devolucion,Devolucion restaurante,pendiente
TXN000029,2026-01-23,4869600251478219,121.78,MXN,devolucion,Devolucion muebles,pendiente
TXN000030,2026-01-23,4869600251478219,252.87,MXN,devolucion,Devolucion herramientas,pendiente
TXN000031,2026-01-22,4759768573385837,41.22,MXN,devolucion,Devolucion celular,pendiente
TXN000032,2026-01-22,4759768573385837,3230.67,MXN,devolucion,Devolucion internet,pendiente
TXN000033,2026-01-25,4759768573385837,23369.36,MXN,devolucion,Devolucion muebles,pendiente
TXN000034,2026-01-26,4759768573385837,456.55,MXN,devolucion,Devolucion celular,pendiente
TXN000035,2026-01-24,4759768573385837,114.67,MXN,devolucion,Devolucion hotel,pendiente
TXN000036,2026-01-28,4759768573385837,4867.59,MXN,devolucion,Devolucion farmacia,pendiente
TXN000037,2026-02-02,4503499148257431,2742.54,MXN,devolucion,Devolucion computadora,pendiente
TXN000038,2026-01-30,4503499148257431,2305.83,MXN,devolucion,Devolucion ropa,pendiente
TXN000039,2026-02-03,4503499148257431,666.41,MXN,devolucion,Devolucion entretenimiento,pendiente
TXN000040,2026-01-30,4503499148257431,491.66,MXN,devolucion,Devolucion entretenimiento,pendiente
TXN000041,2026-02-01,4503499148257431,16276.07,MXN,devolucion,Devolucion supermercado,pendiente
