transaction_id,fecha,cuenta_origen,cuenta_destino,monto,moneda,tipo,descripcion,estado,validacion
TXN001,2026-06-01,4532015112830366,4485276012450445,150.0,MXN,devolucion,Devolucion compra supermercado,pendiente,OK
TXN002,2026-06-01,4916338506082832,4539578763621486,2500.0,MXN,devolucion,Devolucion electrodomestico,pendiente,OK
TXN003,2026-06-02,4556737586899855,4916338506082832,75.5,MXN,devolucion,Devolucion ropa en linea,pendiente,OK
TXN004,2026-06-02,4485276012450445,4532015112830366,8000.0,MXN,devolucion,Devolucion equipo de computo,pendiente,OK
TXN005,2026-06-03,4539578763621486,4556737586899855,320.0,MXN,devolucion,Devolucion restaurante,pendiente,OK
TXN006,2026-06-03,4916338506082832,4485276012450445,1500.0,MXN,devolucion,Devolucion viaje cancelado,pendiente,OK
TXN007,2026-06-04,4532015112830366,4539578763621486,50.0,MXN,devolucion,Devolucion cargo duplicado,pendiente,OK
TXN008,2026-06-04,4556737586899855,4916338506082832,6500.0,MXN,devolucion,Devolucion maquinaria,pendiente,OK
TXN009,2026-06-05,4485276012450445,4532015112830366,900.0,MXN,devolucion,Devolucion servicio cancelado,pendiente,OK
TXN010,2026-06-05,4539578763621486,4556737586899855,3200.0,MXN,devolucion,Devolucion mobiliario oficina,pendiente,OK
TXN011,2026-06-06,4916338506082832,4532015112830366,200.0,MXN,devolucion,Devolucion suscripcion,pendiente,OK
TXN012,2026-06-06,4532015112830366,4485276012450445,12000.0,MXN,devolucion,Devolucion vehiculo,pendiente,OK
TXN013,2026-06-07,4485276012450445,4539578763621486,450.0,MXN,devolucion,Devolucion herramientas,pendiente,OK
TXN014,2026-06-07,4556737586899855,4916338506082832,1200.0,MXN,devolucion,Devolucion equipo medico,pendiente,OK
TXN015,2026-06-08,4539578763621486,4532015112830366,5500.0,MXN,devolucion,Devolucion materiales construccion,pendiente,OK
